Entity,Code,Year,Coal consumption - TWh,Oil consumption - TWh,Gas consumption - TWh,Nuclear consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Solar consumption - TWh,Other renewables (including geothermal and biomass) - TWh
Africa,,1965,323.49615,342.1337,9.571929,0,41.118813,0,,
Africa,,1966,323.1222,370.45,10.698091,0,45.862915,0,,
Africa,,1967,330.29156,369.19354,10.573845,0,47.875538,0,,
Africa,,1968,343.5129,390.3657,10.717145,0,56.00047,0,,
Africa,,1969,346.64288,398.15326,12.520175,0,65.3521,0,,
Africa,,1970,360.7569,435.02704,15.5485,0,81.70287,0,,
Africa,,1971,383.0123,474.3054,18.405262,0,76.92131,0,0,0.52352136
Africa,,1972,384.21082,510.7296,24.670656,0,87.62504,0,0,0.5267136
Africa,,1973,408.9103,549.80396,39.551792,0,92.68892,0,0,0.5426747
Africa,,1974,425.64618,569.7385,44.518486,0,105.46715,0,0,0.5586358
Africa,,1975,451.08047,597.671,53.63838,0,111.53163,0,0,0.54905915
Africa,,1976,481.07413,652.5852,60.98139,0,123.59514,0,0,0.59055775
Africa,,1977,491.69846,695.1952,68.23419,0,135.81085,0,0,0.6033267
Africa,,1978,477.81558,732.366,97.369896,0,136.92912,0,0,0.6224797
Africa,,1979,507.24698,771.1747,148.8428,0,146.56386,0,0,0.64163303
Africa,,1980,543.55707,818.15454,186.91397,0,142.85742,0,0,0.66078633
Africa,,1981,635.79877,885.4927,228.49115,0,148.41988,0,0,0.6959005
Africa,,1982,701.17584,926.532,246.73354,0,148.4593,0,0,0.7533603
Africa,,1983,713.24603,964.7042,271.27533,0,133.79536,0,0,0.7342069
Africa,,1984,762.8979,982.0362,259.90277,11.137245,131.55637,0,0,0.7469758
Africa,,1985,787.16583,1007.3241,278.84274,15.081391,146.22218,0,0,0.8587031
Africa,,1986,805.356,984.45636,313.27118,24.978643,151.23631,0,0,1.9731369
Africa,,1987,828.3197,1038.56,323.38437,17.498955,145.05942,0,0,1.9731369
Africa,,1988,890.16077,1081.7913,358.44452,29.774042,158.47527,0,0,1.8837552
Africa,,1989,835.62085,1117.5557,371.47104,31.493576,166.40814,0,0,1.8550252
Africa,,1990,877.6782,1135.9592,398.64536,23.974163,169.30139,0,0,2.4564898
Africa,,1991,853.76215,1141.9103,401.6356,25.946236,179.3458,0,0,2.5178437
Africa,,1992,858.8312,1164.2032,421.27026,26.35484,171.09227,0,0,2.6294963
Africa,,1993,871.7139,1176.1725,412.64395,20.58617,167.60956,0.005913972,0,2.9341135
Africa,,1994,894.4478,1214.283,431.82794,27.51538,170.3109,0.015967749,0,2.6102505
Africa,,1995,922.47125,1256.2194,461.2435,32.066753,176.68094,0.018629028,0,3.1447382
Africa,,1996,935.2283,1283.562,484.19174,33.41174,184.21408,0.020994611,0,3.9078012
Africa,,1997,959.01904,1324.0258,474.47552,35.88605,188.75021,0.021290332,0,4.327747
Africa,,1998,937.03894,1355.3862,499.33698,38.593037,197.09778,0.02247311,0,5.3564506
Africa,,1999,966.0107,1404.9454,504.01962,36.42518,209.0126,0.058548413,0,5.315038
Africa,,2000,963.73047,1408.3779,556.8223,36.91607,222.54736,0.51895165,0.035752952,7.107958
Africa,,2001,975.9262,1423.5013,634.6361,30.217817,237.59116,1.2208858,0.044716008,7.316493
Africa,,2002,934.42163,1457.352,670.636,33.585613,248.19571,1.2947483,0.048787553,7.2297087
Africa,,2003,1017.0484,1501.7174,711.536,35.24046,239.49504,1.5533037,0.057321742,8.123078
Africa,,2004,1119.1619,1571.9252,783.10583,36.957523,251.35294,2.2139196,0.06881922,9.196763
Africa,,2005,1039.0729,1641.2847,808.0279,31.029053,254.39394,2.234574,0.08097015,9.352789
Africa,,2006,1054.097,1656.8494,843.74774,27.375378,261.93423,2.4260116,0.10333422,11.769358
Africa,,2007,1071.6333,1720.8945,900.41455,30.707249,269.20425,2.8737857,0.13014653,9.738866
Africa,,2008,1180.7251,1807.1218,935.5027,35.065548,272.50143,3.6865554,0.18204114,10.090342
Africa,,2009,1176.002,1872.0237,941.2384,34.31848,278.06058,4.439171,0.24054939,10.981456
Africa,,2010,1167.1663,1952.0454,981.41986,36.028275,298.88947,6.341432,0.56622505,11.534144
Africa,,2011,1149.025,1921.6882,1061.5934,34.154095,305.48254,6.587177,1.6285458,11.9324665
Africa,,2012,1120.1858,2045.3468,1147.4294,34.119267,304.0541,6.902971,2.6149163,12.890129
Africa,,2013,1132.1521,2122.528,1170.0557,36.891415,319.46957,9.799588,2.02142,13.737261
Africa,,2014,1185.7092,2144.3142,1202.3503,35.859425,335.64435,13.714155,5.0303717,16.262276
Africa,,2015,1123.2715,2202.6306,1307.7611,31.62243,325.15683,24.002117,9.552474,20.31829
Africa,,2016,1191.6005,2221.6062,1350.4666,38.599903,318.748,29.925493,14.083063,20.569706
Africa,,2017,1192.7607,2265.2363,1455.7446,36.245564,333.314,36.231094,18.359642,21.001917
Africa,,2018,1170.1332,2299.4292,1553.0098,29.399641,354.8045,39.06295,22.025198,22.725414
Africa,,2019,1236.2761,2295.1206,1576.5094,33.520515,365.04114,50.83042,29.036043,23.02314
Africa,,2020,1195.1685,2055.2783,1541.8435,24.957308,387.8126,50.192425,39.71691,22.105665
Africa,,2021,1197.929,2242.3945,1766.1251,31.02282,399.0163,60.077843,45.35677,22.103886
Africa,,2022,1144.8707,2361.337,1747.1118,25.268139,407.38226,63.455307,46.35748,23.107666
Africa,,2023,1133.9897,2358.9668,1712.2908,22.19142,419.89966,72.270676,49.8679,26.758287
Africa (EI),,1965,323.49615,342.1337,9.571929,0,41.118813,0,,
Africa (EI),,1966,323.1222,370.45,10.698091,0,45.86291,0,,
Africa (EI),,1967,330.2916,369.1935,10.573844,0,47.875538,0,,
Africa (EI),,1968,343.51288,390.3657,10.717145,0,56.000465,0,,
