DATAFLOW,LAST UPDATE,freq,tax,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2015,8203.7,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2016,8384.12,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2017,8844.69,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2018,8784.06,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2019,9070.67,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2020,7986.96,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2021,8775.24,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Austria,2022,8371.55,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2015,10618.06,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2016,11469.5,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2017,11996.93,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2018,12422.78,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2019,12628.04,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2020,11588.37,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2021,12549.6,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Belgium,2022,12285.91,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2015,1351.75,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2016,1451.18,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2017,1468.9,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2018,1470.47,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2019,1839.16,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2020,1859.12,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2021,1978.69,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Bulgaria,2022,4095.16,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2015,8559.54,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2016,8708.44,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2017,8674.09,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2018,8750.65,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2019,9179.6,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2020,9173.17,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2021,9338.89,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Switzerland,2022,10059.34,p
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2015,542.2,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2016,553.48,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2017,604.59,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2018,614.39,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2019,583.7,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2020,517.36,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2021,563.6,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Cyprus,2022,609.62,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2015,3477.33,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2016,3728.38,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2017,3896.98,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2018,4129.14,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2019,4594.86,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2020,4148.06,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2021,4373.44,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Czechia,2022,4024.46,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Germany,2015,58369.37,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,"All NACE activities plus households, non-residents and not allocated",Germany,2016,58268.22,
